code,1,code,2,code,3,code,5,code,6,code,11,code,12,code,16,code,17,code,19,code,27,code,66,code,101,code,151,code,175,code,267,code,288,code,286,code,288,code,669,code,688,code,700,code,762,code,823,code,857,code,883,code,939,code,941,code,1038,code,1044,code,1088,code,1093,code,1109,code,1113,code,1177,code,1299,code,1398,code,1928,code,1997,code,2007,code,2018,code,2313,code,2318,code,2319,code,2382,code,2388,code,2628,code,3328,code,3988,,
Date,Close,Date,Close,Date,Close,Date,Close,Date,Close,Date,Close,Date,Close,Date,Close,Date,Close,Date,Close,Date,Close,Date,Close,Date,Close,Date,Close,Date,Close,Date,Close,Date,Close,Date,Close,Date,Close,Date,Close,Date,Close,Date,Close,Date,Close,Date,Close,Date,Close,Date,Close,Date,Close,Date,Close,Date,Close,Date,Close,Date,Close,Date,Close,Date,Close,Date,Close,Date,Close,Date,Close,Date,Close,Date,Close,Date,Close,Date,Close,Date,Close,Date,Close,Date,Close,Date,Close,Date,Close,Date,Close,Date,Close,Date,Close,Date,Close,,
28/09/18,90.2,28/09/18,91.65,28/09/18,15.54,28/09/18,69.2,28/09/18,54.5,28/09/18,212.6,28/09/18,39.35,28/09/18,114,28/09/18,10.68,28/09/18,85.75,28/09/18,49.65,28/09/18,41.2,28/09/18,15.3,28/09/18,6.59,28/09/18,15.6,28/09/18,11.66,28/09/18,5.51,28/09/18,0.8,28/09/18,5.51,28/09/18,50,28/09/18,24.5,28/09/18,323.2,28/09/18,9.22,28/09/18,77.05,28/09/18,6.34,28/09/18,15.5,28/09/18,6.84,28/09/18,77.15,28/09/18,62,28/09/18,72.2,28/09/18,17.88,28/09/18,16.62,28/09/18,27.4,28/09/18,58.75,28/09/18,7.3,28/09/18,69.9,28/09/18,5.72,28/09/18,35.45,28/09/18,50.5,28/09/18,9.87,28/09/18,81.3,28/09/18,100.4,28/09/18,79.5,28/09/18,26.05,28/09/18,90.3,28/09/18,37.2,28/09/18,17.78,28/09/18,5.87,28/09/18,3.48,,0
02/10/18,87.2,02/10/18,90.45,02/10/18,15.18,02/10/18,67.75,02/10/18,54,02/10/18,209.2,02/10/18,38.6,02/10/18,111.4,02/10/18,10.42,02/10/18,81.55,02/10/18,47.3,02/10/18,40.8,02/10/18,15,02/10/18,6.45,02/10/18,14.94,02/10/18,11.62,02/10/18,5.56,02/10/18,0.8,02/10/18,5.56,02/10/18,49.4,02/10/18,23.8,02/10/18,317,02/10/18,9.06,02/10/18,74.5,02/10/18,6.33,02/10/18,15.64,02/10/18,6.62,02/10/18,75.45,02/10/18,61.85,02/10/18,71.05,02/10/18,17.72,02/10/18,16.38,02/10/18,26.4,02/10/18,57.4,02/10/18,7.11,02/10/18,67.55,02/10/18,5.53,02/10/18,34.05,02/10/18,49.55,02/10/18,9.61,02/10/18,79.75,02/10/18,99.75,02/10/18,77.3,02/10/18,25.5,02/10/18,87.7,02/10/18,36.15,02/10/18,17.38,02/10/18,5.7,02/10/18,3.4,,0
03/10/18,86.4,03/10/18,91.4,03/10/18,15.1,03/10/18,67.95,03/10/18,54.4,03/10/18,210,03/10/18,39,03/10/18,111.1,03/10/18,10.38,03/10/18,85.5,03/10/18,48,03/10/18,40.85,03/10/18,15.1,03/10/18,6.48,03/10/18,14.84,03/10/18,11.86,03/10/18,5.62,03/10/18,0.79,03/10/18,5.62,03/10/18,49.5,03/10/18,23.9,03/10/18,316,03/10/18,9.08,03/10/18,74.9,03/10/18,6.46,03/10/18,15.58,03/10/18,6.61,03/10/18,75.85,03/10/18,62.2,03/10/18,71.3,03/10/18,18,03/10/18,16.18,03/10/18,26.25,03/10/18,57.35,03/10/18,6.95,03/10/18,65.8,03/10/18,5.51,03/10/18,34.95,03/10/18,51.3,03/10/18,9.72,03/10/18,79.45,03/10/18,98.05,03/10/18,77.3,03/10/18,25.05,03/10/18,88.85,03/10/18,36.1,03/10/18,17.48,03/10/18,5.74,03/10/18,3.39,,0
04/10/18,85.55,04/10/18,88.5,04/10/18,14.92,04/10/18,68.05,04/10/18,53.85,04/10/18,207.8,04/10/18,38.6,04/10/18,109.6,04/10/18,10.34,04/10/18,83.6,04/10/18,48.85,04/10/18,40.35,04/10/18,15,04/10/18,6.4,04/10/18,14.22,04/10/18,11.58,04/10/18,5.81,04/10/18,0.79,04/10/18,5.81,04/10/18,48.5,04/10/18,23.25,04/10/18,308.4,04/10/18,9.07,04/10/18,73.1,04/10/18,6.29,04/10/18,15.04,04/10/18,6.45,04/10/18,75.65,04/10/18,61,04/10/18,71.1,04/10/18,17.32,04/10/18,15.38,04/10/18,25.6,04/10/18,56.55,04/10/18,6.75,04/10/18,63.95,04/10/18,5.38,04/10/18,35.6,04/10/18,51.05,04/10/18,9.58,04/10/18,80.05,04/10/18,96,04/10/18,76.55,04/10/18,24.65,04/10/18,84,04/10/18,35.75,04/10/18,17.16,04/10/18,5.55,04/10/18,3.33,,0
05/10/18,85.15,05/10/18,87.1,05/10/18,14.92,05/10/18,68.45,05/10/18,53.5,05/10/18,209.6,05/10/18,38.75,05/10/18,109.6,05/10/18,10.44,05/10/18,82.85,05/10/18,48.45,05/10/18,40.25,05/10/18,14.88,05/10/18,6.47,05/10/18,14.38,05/10/18,11.72,05/10/18,5.93,05/10/18,0.78,05/10/18,5.93,05/10/18,47.75,05/10/18,23.5,05/10/18,305,05/10/18,9.06,05/10/18,70.95,05/10/18,6.23,05/10/18,14.82,05/10/18,6.38,05/10/18,77.55,05/10/18,61,05/10/18,71,05/10/18,17.44,05/10/18,15.66,05/10/18,25.75,05/10/18,56.5,05/10/18,6.77,05/10/18,63.75,05/10/18,5.34,05/10/18,36.2,05/10/18,51.35,05/10/18,9.7,05/10/18,78.3,05/10/18,93.9,05/10/18,76.5,05/10/18,24.15,05/10/18,81.9,05/10/18,35.7,05/10/18,17.08,05/10/18,5.58,05/10/18,3.33,,0
08/10/18,83.25,08/10/18,87.3,08/10/18,14.9,08/10/18,68.05,08/10/18,53.25,08/10/18,210.2,08/10/18,38.65,08/10/18,108.9,08/10/18,10.36,08/10/18,82.75,08/10/18,45.25,08/10/18,40.4,08/10/18,14.78,08/10/18,6.22,08/10/18,14.14,08/10/18,11.8,08/10/18,5.75,08/10/18,0.76,08/10/18,5.75,08/10/18,46.65,08/10/18,23.05,08/10/18,299,08/10/18,8.97,08/10/18,69.85,08/10/18,6.12,08/10/18,14.4,08/10/18,6.27,08/10/18,78.05,08/10/18,60.85,08/10/18,68.9,08/10/18,17.2,08/10/18,15.18,08/10/18,25.15,08/10/18,56,08/10/18,6.51,08/10/18,63.55,08/10/18,5.28,08/10/18,34.8,08/10/18,52.1,08/10/18,9.05,08/10/18,76.65,08/10/18,90.3,08/10/18,74.75,08/10/18,23.25,08/10/18,76.7,08/10/18,35.45,08/10/18,16.98,08/10/18,5.63,08/10/18,3.31,,0
09/10/18,83.3,09/10/18,87.9,09/10/18,14.9,09/10/18,67.65,09/10/18,53.6,09/10/18,210.2,09/10/18,38.9,09/10/18,109.5,09/10/18,10.52,09/10/18,83.95,09/10/18,44.8,09/10/18,40.05,09/10/18,14.94,09/10/18,6.12,09/10/18,13.4,09/10/18,11.9,09/10/18,5.81,09/10/18,0.73,09/10/18,5.81,09/10/18,46.6,09/10/18,23,09/10/18,293.8,09/10/18,8.88,09/10/18,70.6,09/10/18,6.22,09/10/18,14.7,09/10/18,6.3,09/10/18,78.4,09/10/18,61,09/10/18,66.7,09/10/18,17.58,09/10/18,15.3,09/10/18,25.3,09/10/18,56.6,09/10/18,6.55,09/10/18,63,09/10/18,5.32,09/10/18,34.65,09/10/18,53.15,09/10/18,8.93,09/10/18,76.15,09/10/18,89.7,09/10/18,74.6,09/10/18,23.3,09/10/18,75.5,09/10/18,35.25,09/10/18,17.04,09/10/18,5.63,09/10/18,3.33,,0
10/10/18,83.65,10/10/18,88.9,10/10/18,15.02,10/10/18,68.1,10/10/18,54.15,10/10/18,210.4,10/10/18,38.2,10/10/18,108.4,10/10/18,10.24,10/10/18,84.75,10/10/18,44.95,10/10/18,39.95,10/10/18,14.82,10/10/18,5.7,10/10/18,13.76,10/10/18,11.92,10/10/18,5.91,10/10/18,0.65,10/10/18,5.91,10/10/18,46.3,10/10/18,23.7,10/10/18,286.4,10/10/18,9.11,10/10/18,72.4,10/10/18,6.23,10/10/18,14.84,10/10/18,6.28,10/10/18,80.75,10/10/18,62.25,10/10/18,66.8,10/10/18,18.3,10/10/18,15.64,10/10/18,25.45,10/10/18,56.15,10/10/18,6.55,10/10/18,63.2,10/10/18,5.32,10/10/18,34.55,10/10/18,51.9,10/10/18,8.59,10/10/18,75.45,10/10/18,85.35,10/10/18,74.75,10/10/18,22.75,10/10/18,76,10/10/18,35.15,10/10/18,17.14,10/10/18,5.7,10/10/18,3.34,,0
11/10/18,81.9,11/10/18,88,11/10/18,14.82,11/10/18,66.05,11/10/18,53.3,11/10/18,204.6,11/10/18,37.15,11/10/18,105.4,11/10/18,9.95,11/10/18,82.45,11/10/18,42.8,11/10/18,39.3,11/10/18,14.08,11/10/18,5.54,11/10/18,12.9,11/10/18,11.5,11/10/18,5.84,11/10/18,0.66,11/10/18,5.84,11/10/18,44.75,11/10/18,22.6,11/10/18,267,11/10/18,8.81,11/10/18,71.55,11/10/18,5.99,11/10/18,14.28,11/10/18,6.09,11/10/18,78.5,11/10/18,60.65,11/10/18,65.3,11/10/18,17.82,11/10/18,15.08,11/10/18,24.2,11/10/18,54.45,11/10/18,6.19,11/10/18,60.5,11/10/18,5.16,11/10/18,33.15,11/10/18,49.1,11/10/18,7.98,11/10/18,69.95,11/10/18,84,11/10/18,72.1,11/10/18,22.7,11/10/18,71.3,11/10/18,34.1,11/10/18,16.66,11/10/18,5.52,11/10/18,3.27,,0
12/10/18,81.3,12/10/18,87.95,12/10/18,14.82,12/10/18,66.05,12/10/18,53.1,12/10/18,204.6,12/10/18,37.35,12/10/18,104.7,12/10/18,9.92,12/10/18,81.8,12/10/18,45.65,12/10/18,39.2,12/10/18,14.42,12/10/18,5.72,12/10/18,14.08,12/10/18,11.56,12/10/18,5.97,12/10/18,0.67,12/10/18,5.97,12/10/18,44.5,12/10/18,23.2,12/10/18,288.4,12/10/18,8.83,12/10/18,71.95,12/10/18,5.96,12/10/18,14.5,12/10/18,6.21,12/10/18,78,12/10/18,61,12/10/18,64.75,12/10/18,18.48,12/10/18,15.6,12/10/18,25.6,12/10/18,54.65,12/10/18,6.51,12/10/18,62.95,12/10/18,5.27,12/10/18,34.35,12/10/18,48.7,12/10/18,8.46,12/10/18,72,12/10/18,86.75,12/10/18,73.7,12/10/18,23,12/10/18,78.95,12/10/18,34.35,12/10/18,17.12,12/10/18,5.52,12/10/18,3.31,,0
15/10/18,81.25,15/10/18,86.9,15/10/18,14.72,15/10/18,64.75,15/10/18,52.55,15/10/18,203.2,15/10/18,36.8,15/10/18,103.7,15/10/18,9.81,15/10/18,82.45,15/10/18,44.55,15/10/18,38.8,15/10/18,14.58,15/10/18,5.58,15/10/18,13.84,15/10/18,11.36,15/10/18,5.98,15/10/18,0.73,15/10/18,5.98,15/10/18,43.75,15/10/18,22.7,15/10/18,282.8,15/10/18,8.75,15/10/18,72.2,15/10/18,6,15/10/18,14.58,15/10/18,6.07,15/10/18,76.6,15/10/18,59.35,15/10/18,62.7,15/10/18,18.3,15/10/18,15.66,15/10/18,24.8,15/10/18,54.9,15/10/18,6.73,15/10/18,62.4,15/10/18,5.16,15/10/18,33.85,15/10/18,48,15/10/18,7.89,15/10/18,66.5,15/10/18,83.45,15/10/18,73.25,15/10/18,22.45,15/10/18,79.1,15/10/18,33.8,15/10/18,16.86,15/10/18,5.43,15/10/18,3.25,,0
16/10/18,80.75,16/10/18,86.7,16/10/18,14.72,16/10/18,64.8,16/10/18,52.9,16/10/18,203,16/10/18,36.75,16/10/18,102.9,16/10/18,9.89,16/10/18,82.9,16/10/18,44.9,16/10/18,38.6,16/10/18,14.48,16/10/18,5.66,16/10/18,14.04,16/10/18,11.42,16/10/18,5.77,16/10/18,0.75,16/10/18,5.77,16/10/18,44,16/10/18,22.55,16/10/18,281.4,16/10/18,8.87,16/10/18,71.5,16/10/18,6.05,16/10/18,14.92,16/10/18,6.09,16/10/18,77.7,16/10/18,59.6,16/10/18,61.7,16/10/18,18.54,16/10/18,16.08,16/10/18,24.95,16/10/18,54.4,16/10/18,6.67,16/10/18,61.45,16/10/18,5.18,16/10/18,33.3,16/10/18,47.05,16/10/18,8.18,16/10/18,66.25,16/10/18,84,16/10/18,73.3,16/10/18,22.85,16/10/18,80.95,16/10/18,33.5,16/10/18,17.02,16/10/18,5.48,16/10/18,3.25,,0
18/10/18,80.75,18/10/18,87.5,18/10/18,14.76,18/10/18,64.55,18/10/18,53,18/10/18,202,18/10/18,37.3,18/10/18,102.8,18/10/18,9.99,18/10/18,84.1,18/10/18,45.35,18/10/18,38.6,18/10/18,14.24,18/10/18,5.75,18/10/18,13.7,18/10/18,11.48,18/10/18,5.83,18/10/18,0.75,18/10/18,5.83,18/10/18,43.15,18/10/18,22.95,18/10/18,281,18/10/18,8.83,18/10/18,73.8,18/10/18,5.96,18/10/18,14.62,18/10/18,6.08,18/10/18,78.15,18/10/18,60.5,18/10/18,62.85,18/10/18,18.04,18/10/18,16.26,18/10/18,24.75,18/10/18,54.85,18/10/18,6.58,18/10/18,61.85,18/10/18,5.17,18/10/18,33.7,18/10/18,48.1,18/10/18,8,18/10/18,65.85,18/10/18,84.95,18/10/18,72.7,18/10/18,23,18/10/18,82.8,18/10/18,33.15,18/10/18,16.98,18/10/18,5.49,18/10/18,3.23,,0
19/10/18,80.4,19/10/18,88.6,19/10/18,15.02,19/10/18,63.85,19/10/18,53,19/10/18,201,19/10/18,37.7,19/10/18,103.4,19/10/18,10,19/10/18,83.4,19/10/18,45.6,19/10/18,38.9,19/10/18,14.32,19/10/18,5.72,19/10/18,14.02,19/10/18,11.62,19/10/18,5.9,19/10/18,0.71,19/10/18,5.9,19/10/18,42.7,19/10/18,23.45,19/10/18,282,19/10/18,8.69,19/10/18,73.15,19/10/18,5.92,19/10/18,14.08,19/10/18,6.2,19/10/18,77.85,19/10/18,59.5,19/10/18,63.1,19/10/18,18.06,19/10/18,16.34,19/10/18,25.4,19/10/18,54.6,19/10/18,6.68,19/10/18,62.3,19/10/18,5.23,19/10/18,33.8,19/10/18,47.05,19/10/18,8.23,19/10/18,64.7,19/10/18,82.85,19/10/18,74.05,19/10/18,23.15,19/10/18,83.65,19/10/18,33.5,19/10/18,17.24,19/10/18,5.56,19/10/18,3.28,,0
22/10/18,81.75,22/10/18,88.75,22/10/18,15.1,22/10/18,64.35,22/10/18,53.45,22/10/18,203.4,22/10/18,37.75,22/10/18,104.1,22/10/18,10.22,22/10/18,84,22/10/18,47.2,22/10/18,38.8,22/10/18,14.56,22/10/18,5.9,22/10/18,15.12,22/10/18,11.68,22/10/18,6.07,22/10/18,0.7,22/10/18,6.07,22/10/18,43.15,22/10/18,24.3,22/10/18,291.2,22/10/18,8.92,22/10/18,73.9,22/10/18,6.03,22/10/18,14.54,22/10/18,6.35,22/10/18,77.5,22/10/18,60.9,22/10/18,64.6,22/10/18,18.5,22/10/18,17.3,22/10/18,27.25,22/10/18,55.6,22/10/18,7.39,22/10/18,64.65,22/10/18,5.36,22/10/18,35.15,22/10/18,47.95,22/10/18,8.35,22/10/18,67,22/10/18,86.5,22/10/18,76.5,22/10/18,24.85,22/10/18,85.7,22/10/18,33.8,22/10/18,17.82,22/10/18,5.6,22/10/18,3.34,,0
23/10/18,79.65,23/10/18,85.9,23/10/18,14.78,23/10/18,62.4,23/10/18,52.5,23/10/18,196.9,23/10/18,37.25,23/10/18,101.7,23/10/18,10.02,23/10/18,82.8,23/10/18,43.45,23/10/18,38.15,23/10/18,14.24,23/10/18,5.84,23/10/18,14.66,23/10/18,11.42,23/10/18,5.72,23/10/18,0.72,23/10/18,5.72,23/10/18,43.05,23/10/18,23.6,23/10/18,277.8,23/10/18,8.84,23/10/18,72.3,23/10/18,5.92,23/10/18,14.12,23/10/18,6.2,23/10/18,74.5,23/10/18,58.5,23/10/18,63.8,23/10/18,17.84,23/10/18,16.84,23/10/18,25.45,23/10/18,54.25,23/10/18,6.91,23/10/18,61.65,23/10/18,5.24,23/10/18,33.3,23/10/18,46.9,23/10/18,7.9,23/10/18,64.55,23/10/18,87.9,23/10/18,75.9,23/10/18,23.9,23/10/18,82.3,23/10/18,33.25,23/10/18,17.36,23/10/18,5.54,23/10/18,3.27,,0
24/10/18,80.2,24/10/18,86.1,24/10/18,14.82,24/10/18,61.6,24/10/18,52.8,24/10/18,198.6,24/10/18,36.95,24/10/18,101,24/10/18,10.02,24/10/18,83.15,24/10/18,43.05,24/10/18,38.45,24/10/18,14.28,24/10/18,5.84,24/10/18,14.6,24/10/18,11.5,24/10/18,5.7,24/10/18,0.7,24/10/18,5.7,24/10/18,42.75,24/10/18,23.65,24/10/18,275.8,24/10/18,8.87,24/10/18,72.85,24/10/18,5.81,24/10/18,13.58,24/10/18,6.22,24/10/18,74.7,24/10/18,58.75,24/10/18,63.6,24/10/18,18.32,24/10/18,16.58,24/10/18,25.65,24/10/18,53.7,24/10/18,6.99,24/10/18,60.7,24/10/18,5.29,24/10/18,33,24/10/18,46.95,24/10/18,8,24/10/18,63.75,24/10/18,87.05,24/10/18,75.9,24/10/18,23.75,24/10/18,78.5,24/10/18,32.95,24/10/18,17.2,24/10/18,5.58,24/10/18,3.27,,0
25/10/18,79.2,25/10/18,86.8,25/10/18,14.96,25/10/18,61.05,25/10/18,52.55,25/10/18,194.7,25/10/18,36.7,25/10/18,100.9,25/10/18,9.9,25/10/18,83.05,25/10/18,42.45,25/10/18,38.4,25/10/18,14.06,25/10/18,5.69,25/10/18,14.46,25/10/18,11.56,25/10/18,5.81,25/10/18,0.69,25/10/18,5.81,25/10/18,41.15,25/10/18,23.85,25/10/18,269,25/10/18,8.78,25/10/18,72.45,25/10/18,5.65,25/10/18,13.18,25/10/18,6.2,25/10/18,74.1,25/10/18,57.55,25/10/18,64.5,25/10/18,18.5,25/10/18,16.74,25/10/18,26,25/10/18,52.75,25/10/18,7.1,25/10/18,59.35,25/10/18,5.28,25/10/18,31.55,25/10/18,46.95,25/10/18,8.35,25/10/18,59,25/10/18,85.7,25/10/18,75.4,25/10/18,23.9,25/10/18,72.45,25/10/18,32.2,25/10/18,17.1,25/10/18,5.65,25/10/18,3.27,,0
26/10/18,78,26/10/18,85.4,26/10/18,14.88,26/10/18,60.5,26/10/18,51.8,26/10/18,189.6,26/10/18,36.3,26/10/18,102.6,26/10/18,9.93,26/10/18,81.95,26/10/18,42.3,26/10/18,38.1,26/10/18,14.08,26/10/18,5.6,26/10/18,14,26/10/18,11.46,26/10/18,5.75,26/10/18,0.67,26/10/18,5.75,26/10/18,38,26/10/18,24,26/10/18,260,26/10/18,8.73,26/10/18,72.9,26/10/18,5.56,26/10/18,13.4,26/10/18,6.17,26/10/18,73.05,26/10/18,57.75,26/10/18,65,26/10/18,18.22,26/10/18,16.2,26/10/18,26.1,26/10/18,52.6,26/10/18,6.84,26/10/18,59.4,26/10/18,5.26,26/10/18,30.4,26/10/18,47.6,26/10/18,8.35,26/10/18,56.2,26/10/18,82.9,26/10/18,74.4,26/10/18,23,26/10/18,64.4,26/10/18,31.35,26/10/18,15.96,26/10/18,5.67,26/10/18,3.26,,0
29/10/18,78.95,29/10/18,87.05,29/10/18,14.96,29/10/18,63.55,29/10/18,52.2,29/10/18,189.8,29/10/18,36.55,29/10/18,103.8,29/10/18,9.98,29/10/18,82.25,29/10/18,41.8,29/10/18,37.95,29/10/18,14.04,29/10/18,5.65,29/10/18,13.62,29/10/18,11.66,29/10/18,5.6,29/10/18,0.68,29/10/18,5.6,29/10/18,36.4,29/10/18,24.45,29/10/18,260,29/10/18,8.59,29/10/18,73.15,29/10/18,5.58,29/10/18,13.4,29/10/18,6.17,29/10/18,71.8,29/10/18,57.75,29/10/18,64,29/10/18,17.5,29/10/18,15.92,29/10/18,26.4,29/10/18,52.95,29/10/18,6.62,29/10/18,59.55,29/10/18,5.28,29/10/18,30.5,29/10/18,48.25,29/10/18,8.35,29/10/18,57.9,29/10/18,83.9,29/10/18,72.75,29/10/18,22.8,29/10/18,63.5,29/10/18,31.65,29/10/18,15.8,29/10/18,5.79,29/10/18,3.27,,0
30/10/18,78.15,30/10/18,86.7,30/10/18,14.9,30/10/18,63.15,30/10/18,51.7,30/10/18,182.1,30/10/18,36.2,30/10/18,101.8,30/10/18,9.9,30/10/18,81.4,30/10/18,40.75,30/10/18,37.55,30/10/18,14.1,30/10/18,5.66,30/10/18,13.94,30/10/18,11.74,30/10/18,5.62,30/10/18,0.66,30/10/18,5.62,30/10/18,35.95,30/10/18,24.15,30/10/18,252.2,30/10/18,8.17,30/10/18,72.1,30/10/18,5.55,30/10/18,13.56,30/10/18,6.2,30/10/18,71.4,30/10/18,57.35,30/10/18,62.55,30/10/18,17.2,30/10/18,15.94,30/10/18,26.45,30/10/18,52.05,30/10/18,6.73,30/10/18,58.25,30/10/18,5.28,30/10/18,30.3,30/10/18,47.95,30/10/18,8.23,30/10/18,56.95,30/10/18,83.1,30/10/18,72.55,30/10/18,22.15,30/10/18,64.25,30/10/18,29.45,30/10/18,15.5,30/10/18,5.87,30/10/18,3.3,,0
31/10/18,78.95,31/10/18,87.9,31/10/18,14.96,31/10/18,64.4,31/10/18,52.35,31/10/18,183.6,31/10/18,36.5,31/10/18,101.9,31/10/18,9.94,31/10/18,81.35,31/10/18,42.4,31/10/18,38,31/10/18,14.2,31/10/18,5.6,31/10/18,15,31/10/18,11.76,31/10/18,5.49,31/10/18,0.67,31/10/18,5.49,31/10/18,36.7,31/10/18,24.55,31/10/18,267,31/10/18,8.14,31/10/18,69.5,31/10/18,5.74,31/10/18,13.46,31/10/18,6.22,31/10/18,73.3,31/10/18,57.3,31/10/18,62.1,31/10/18,17.76,31/10/18,16.54,31/10/18,26.6,31/10/18,50.9,31/10/18,7.03,31/10/18,59.35,31/10/18,5.3,31/10/18,30.9,31/10/18,48.55,31/10/18,8.39,31/10/18,59.65,31/10/18,86.6,31/10/18,73.85,31/10/18,23.1,31/10/18,68,31/10/18,29.3,31/10/18,15.62,31/10/18,5.88,31/10/18,3.34,,0
01/11/18,79.35,01/11/18,86.8,01/11/18,14.86,01/11/18,65.05,01/11/18,51.65,01/11/18,185.2,01/11/18,36.5,01/11/18,103.9,01/11/18,10.08,01/11/18,82.25,01/11/18,43.75,01/11/18,38.1,01/11/18,14.28,01/11/18,5.6,01/11/18,15.36,01/11/18,11.8,01/11/18,5.28,01/11/18,0.67,01/11/18,5.28,01/11/18,39.25,01/11/18,25.7,01/11/18,277.8,01/11/18,8.21,01/11/18,70.75,01/11/18,5.79,01/11/18,13.44,01/11/18,6.31,01/11/18,73.95,01/11/18,57.85,01/11/18,62,01/11/18,18.24,01/11/18,16.98,01/11/18,27.85,01/11/18,52.25,01/11/18,7.38,01/11/18,61.3,01/11/18,5.37,01/11/18,31.8,01/11/18,48.65,01/11/18,9.16,01/11/18,64.35,01/11/18,86.8,01/11/18,74.95,01/11/18,23.8,01/11/18,73,01/11/18,29.8,01/11/18,15.72,01/11/18,5.85,01/11/18,3.37,,0
02/11/18,81.9,02/11/18,87.65,02/11/18,15.14,02/11/18,66.4,02/11/18,53.05,02/11/18,192.3,02/11/18,37.85,02/11/18,106.9,02/11/18,10.34,02/11/18,86,02/11/18,47.9,02/11/18,38.9,02/11/18,14.68,02/11/18,5.77,02/11/18,17.16,02/11/18,12.06,02/11/18,6,02/11/18,0.66,02/11/18,6,02/11/18,43.4,02/11/18,26.55,02/11/18,303.6,02/11/18,8.54,02/11/18,72.3,02/11/18,5.82,02/11/18,13.58,02/11/18,6.58,02/11/18,74.05,02/11/18,58.9,02/11/18,63.8,02/11/18,18.86,02/11/18,18.26,02/11/18,28.5,02/11/18,53.7,02/11/18,8.19,02/11/18,64.25,02/11/18,5.56,02/11/18,35.2,02/11/18,49.95,02/11/18,9.52,02/11/18,67.1,02/11/18,94.3,02/11/18,79.05,02/11/18,25,02/11/18,80.5,02/11/18,30.85,02/11/18,16.74,02/11/18,5.93,02/11/18,3.46,,0
05/11/18,80.05,05/11/18,86.3,05/11/18,14.94,05/11/18,65.5,05/11/18,52.2,05/11/18,186.6,05/11/18,37.35,05/11/18,105.2,05/11/18,10.16,05/11/18,82.95,05/11/18,46.55,05/11/18,38.15,05/11/18,14.62,05/11/18,5.59,05/11/18,16.68,05/11/18,11.94,05/11/18,5.79,05/11/18,0.66,05/11/18,5.79,05/11/18,41.5,05/11/18,25.7,05/11/18,292.4,05/11/18,8.4,05/11/18,70.8,05/11/18,5.8,05/11/18,13.52,05/11/18,6.49,05/11/18,72.75,05/11/18,57.8,05/11/18,62.4,05/11/18,18.56,05/11/18,18.2,05/11/18,27.35,05/11/18,52.95,05/11/18,7.93,05/11/18,62.2,05/11/18,5.44,05/11/18,33.95,05/11/18,47.9,05/11/18,9.02,05/11/18,62.15,05/11/18,91.8,05/11/18,78,05/11/18,24.95,05/11/18,78.5,05/11/18,30.2,05/11/18,16.38,05/11/18,5.94,05/11/18,3.41,,0
06/11/18,81.25,06/11/18,86.9,06/11/18,14.98,06/11/18,66.05,06/11/18,52.65,06/11/18,185.4,06/11/18,38,06/11/18,107.5,06/11/18,10.38,06/11/18,85.25,06/11/18,45.8,06/11/18,38.6,06/11/18,14.68,06/11/18,5.68,06/11/18,16.2,06/11/18,12.12,06/11/18,5.86,06/11/18,0.68,06/11/18,5.86,06/11/18,41,06/11/18,25.7,06/11/18,292,06/11/18,8.57,06/11/18,72,06/11/18,5.93,06/11/18,13.9,06/11/18,6.54,06/11/18,73.8,06/11/18,58.25,06/11/18,62.7,06/11/18,18.74,06/11/18,18.64,06/11/18,28,06/11/18,54.15,06/11/18,8.21,06/11/18,62.5,06/11/18,5.45,06/11/18,33.5,06/11/18,48.2,06/11/18,9.04,06/11/18,60,06/11/18,92.6,06/11/18,78.65,06/11/18,25.4,06/11/18,75.5,06/11/18,30,06/11/18,16.44,06/11/18,5.92,06/11/18,3.42,,0
07/11/18,80.55,07/11/18,85.75,07/11/18,14.84,07/11/18,65.95,07/11/18,52.55,07/11/18,183.1,07/11/18,37.85,07/11/18,107.2,07/11/18,10.38,07/11/18,85.35,07/11/18,46,07/11/18,38.55,07/11/18,15.02,07/11/18,5.67,07/11/18,15.4,07/11/18,12.14,07/11/18,5.96,07/11/18,0.7,07/11/18,5.96,07/11/18,42.6,07/11/18,25.65,07/11/18,293.4,07/11/18,8.5,07/11/18,72.65,07/11/18,5.97,07/11/18,13.86,07/11/18,6.53,07/11/18,72.85,07/11/18,57.9,07/11/18,63.5,07/11/18,19.1,07/11/18,18.78,07/11/18,28.15,07/11/18,54.45,07/11/18,8.19,07/11/18,63.6,07/11/18,5.47,07/11/18,33.75,07/11/18,48.5,07/11/18,9.03,07/11/18,60,07/11/18,94.45,07/11/18,78.55,07/11/18,25.5,07/11/18,75,07/11/18,29.8,07/11/18,16.42,07/11/18,5.95,07/11/18,3.43,,0
